linkID,pollutantID,sourceTypeID,ratePerDistance
5,91,21,138843
5,110,21,0.0498458
5,112,21,0.0116433
5,115,21,0.00125172
5,118,21,0.038202502
5,119,21,0
6,1,21,2.103770018
6,2,21,89.81430054
6,3,21,9.981570244
6,90,21,12615.09961
6,91,21,175509
6,110,21,0.0514009
6,112,21,0.0131984
6,115,21,0.00125172
6,118,21,0.038202502
6,119,21,0
7,1,21,2.558459997
7,2,21,115.3430023
7,3,21,14.89620018
7,90,21,15096
7,91,21,210025
7,110,21,0.054427002
7,112,21,0.0162246
7,115,21,0.00125172
7,118,21,0.038202502
7,119,21,0
8,1,21,3.233409882
8,2,21,163.4600067
8,3,21,22.36700058
8,90,21,18296.40039
8,91,21,254550
8,110,21,0.085449502
8,112,21,0.047247101
8,115,21,0.00125172
8,118,21,0.038202502
8,119,21,0
9,1,21,1.41249001
9,2,21,47.78219986
9,3,21,3.325259924
9,90,21,7122.259766
9,91,21,99088.60156
9,110,21,0.049880698
9,112,21,0.0116783
9,115,21,0.00125172
9,118,21,0.038202502
9,119,21,0
10,1,21,1.343989968
10,2,21,57.03979874
10,3,21,4.022699833
10,90,21,8068.080078
10,91,21,112247
10,110,21,0.051524401
10,112,21,0.013322
10,115,21,0.00125172
10,118,21,0.038202502
10,119,21,0
11,1,21,1.585710049
11,2,21,73.73459625
11,3,21,6.147250175
11,90,21,9847.660156
11,91,21,137006
11,110,21,0.051199201
11,112,21,0.0129968
11,115,21,0.00125172
11,118,21,0.038202502
11,119,21,0
12,1,21,2.156869888
12,2,21,108.3880005
12,3,21,10.49289989
12,90,21,12610.5
12,91,21,175445
12,110,21,0.053089
12,112,21,0.0148866
12,115,21,0.00125172
12,118,21,0.038202502
12,119,21,0
13,1,21,2.405600071
13,2,21,121.9909973
13,3,21,14.79899979
13,90,21,16619.80078
13,91,21,231223
13,110,21,0.0563065
13,112,21,0.018104
13,115,21,0.00125172
13,118,21,0.038202502
13,119,21,0
14,1,21,3.597249985
14,2,21,194.2940063
14,3,21,24.14710045
14,90,21,21686.40039
14,91,21,301713
14,110,21,0.069625601
14,112,21,0.0314232
14,115,21,0.00125172
14,118,21,0.038202502
14,119,21,0
15,1,21,6.9604702
15,2,21,355.1470032
15,3,21,37.31579971
15,90,21,29225.30078
15,91,21,406600
15,110,21,0.164066002
15,112,21,0.125863999
15,115,21,0.00125172
15,118,21,0.038202502
15,119,21,0
16,1,21,11.49549961
16,2,21,724.6959839
16,3,21,53.89920044
16,90,21,40024.60156
16,91,21,556845
16,110,21,0.474465013
16,112,21,0.436262012
16,115,21,0.00125172
16,118,21,0.038202502
16,119,21,0
17,1,21,19.45490074
